Rank,Dutch,English,,Notes
1,ik,I,,"1) This list was created using public/free subtitles, particularly from opensubtitles.org."
2,je,you,,The order is based on the number of occurences of each word in the subtitles.
3,het,the,,
4,de,the,,2) The English translation is by Google and can be un-reliable for some words.
5,is,is,,
6,dat,Which,,3) You can change the translation from English to another language.
7,een,a,,To do this you will first need to make a copy of this spreadsheet.  (File > Make a copy...)
8,niet,not,,"Then replace the ""en"" in the function in the cells in Column C with your desired language code."
9,en,and,,"e.g. Replace ""en"" with ""sv"" for Swedish."
10,wat,what,,List of supported languages:
11,van,from,,https://cloud.google.com/translate/v2/using_rest?hl=en#language-params
12,we,we,,
13,in,in,,4) The original source of this list can be found here:
14,ze,they,,https://invokeit.wordpress.com/frequency-word-lists/
15,op,on,,
16,te,to,,5) It is licensed under the following Creative Commons license:
17,hij,he,,http://creativecommons.org/licenses/by-sa/3.0/
18,zijn,to be,,
19,er,there,,6) More Most Common word lists (other languages) can be found here:
20,maar,but,,http://www.101languages.net/common-words/
21,me,me,,
22,die,That,,
23,heb,have got,,
24,voor,in front of,,
25,met,with,,
26,als,as,,
27,ben,am,,
28,was,used to be,,
29,mijn,my,,
30,u,you,,
31,dit,this,,
32,aan,to,,
33,om,to,,
34,hier,here,,
35,naar,to,,
36,dan,then,,
37,jij,you,,
38,zo,so,,
39,weet,know,,
40,ja,Yes,,
41,kan,can,,
42,geen,no,,
43,nog,yet,,
44,wel,well,,
45,wil,want,,
46,moet,must,,
47,goed,good,,
48,hem,him,,
49,hebben,to have,,
50,nee,No,,
51,heeft,has,,
52,waar,true,,
53,nu,now,,
54,hoe,how,,
55,ga,ga,,
56,kom,bowl,,
57,uit,from,,
58,gaan,to go,,
59,bent,are,,
60,haar,her,,
61,doen,to do,,
62,ook,also,,
63,mij,me,,
64,over,about,,
65,of,or,,
66,daar,over there,,
67,zou,would,,
68,al,already,,
69,jullie,you,,
70,zal,shall,,
71,bij,at,,
72,ons,U.S,,
73,gaat,is going,,
74,hebt,have,,
75,meer,more,,
76,waarom,why,,
77,iets,something,,
78,deze,this one,,
79,laat,late,,
80,had,had,,
81,doe,do,,
82,m,m,,
83,moeten,should,,
84,wie,Who,,
85,jou,you,,
86,alles,everything,,
87,denk,think,,
88,kunnen,being able,,
89,eens,once,,
90,echt,really,,
91,weg,away,,
92,door,by,,
93,man,man,,
94,toch,yet,,
95,zien,see,,
96,oké,all right,,
97,alleen,only,,
98,nou,Well,,
99,dus,So,,
100,nooit,never,,
101,terug,back,,
102,laten,leave,,
103,mee,it,,
104,even,for a bit,,
105,hou,love,,
106,komt,coming,,
107,niets,nothing,,
108,zei,said,,
109,misschien,perhaps,,
110,kijk,look,,
111,iemand,someone,,
112,komen,come,,
113,tot,until,,
114,veel,a lot of,,
115,worden,to become,,
116,onze,our,,
117,mensen,people,,
118,zeg,say,,
119,leven,life,,
120,zeggen,say,,
121,weer,weather,,
122,gewoon,just,,
123,nodig,required,,
124,wij,we,,
125,twee,two,,
126,tijd,time,,
127,tegen,against,,
128,uw,your,,
